Kernel,Metric,Configuration,Value
_Z14float_to_colorPhPKf,shared_load_transactions,./heat_globalmem.out_shared_load_transactions_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,shared_load_transactions,./heat_globalmem.out_shared_load_transactions_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,stall_pipe_busy,./heat_globalmem.out_stall_pipe_busy_heat_globalmem.out,3.49092e-05
_Z14float_to_colorPhPKf,stall_pipe_busy,./heat_globalmem.out_stall_pipe_busy_heat_globalmem.out,0.0193798
_Z17copy_const_kernelPfS_,stall_pipe_busy,./heat_globalmem.out_stall_pipe_busy_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,inst_fp_64,./heat_globalmem.out_inst_fp_64_heat_globalmem.out,0
_Z14float_to_colorPhPKf,inst_fp_64,./heat_globalmem.out_inst_fp_64_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,inst_fp_64,./heat_globalmem.out_inst_fp_64_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,gst_transactions_per_request,./heat_globalmem.out_gst_transactions_per_request_heat_globalmem.out,4
_Z14float_to_colorPhPKf,gst_transactions_per_request,./heat_globalmem.out_gst_transactions_per_request_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,gst_transactions_per_request,./heat_globalmem.out_gst_transactions_per_request_heat_globalmem.out,3.92523
_Z12blend_kernelPfbS_S_,local_memory_overhead,./heat_globalmem.out_local_memory_overhead_heat_globalmem.out,7.32262
_Z14float_to_colorPhPKf,local_memory_overhead,./heat_globalmem.out_local_memory_overhead_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,local_memory_overhead,./heat_globalmem.out_local_memory_overhead_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,gst_efficiency,./heat_globalmem.out_gst_efficiency_heat_globalmem.out,50
_Z14float_to_colorPhPKf,gst_efficiency,./heat_globalmem.out_gst_efficiency_heat_globalmem.out,7.00936
_Z17copy_const_kernelPfS_,gst_efficiency,./heat_globalmem.out_gst_efficiency_heat_globalmem.out,49.8444
_Z12blend_kernelPfbS_S_,stall_memory_dependency,./heat_globalmem.out_stall_memory_dependency_heat_globalmem.out,28.8492
_Z14float_to_colorPhPKf,stall_memory_dependency,./heat_globalmem.out_stall_memory_dependency_heat_globalmem.out,14.3876
_Z17copy_const_kernelPfS_,stall_memory_dependency,./heat_globalmem.out_stall_memory_dependency_heat_globalmem.out,29.9876
_Z12blend_kernelPfbS_S_,gld_efficiency,./heat_globalmem.out_gld_efficiency_heat_globalmem.out,42.9237
_Z14float_to_colorPhPKf,gld_efficiency,./heat_globalmem.out_gld_efficiency_heat_globalmem.out,4.05261
_Z17copy_const_kernelPfS_,gld_efficiency,./heat_globalmem.out_gld_efficiency_heat_globalmem.out,50
_Z12blend_kernelPfbS_S_,l2_write_throughput,./heat_globalmem.out_l2_write_throughput_heat_globalmem.out,95442844357
_Z14float_to_colorPhPKf,l2_write_throughput,./heat_globalmem.out_l2_write_throughput_heat_globalmem.out,786595309096
_Z17copy_const_kernelPfS_,l2_write_throughput,./heat_globalmem.out_l2_write_throughput_heat_globalmem.out,3842019683
_Z12blend_kernelPfbS_S_,gst_throughput,./heat_globalmem.out_gst_throughput_heat_globalmem.out,85084063615
_Z14float_to_colorPhPKf,gst_throughput,./heat_globalmem.out_gst_throughput_heat_globalmem.out,542446018985
_Z17copy_const_kernelPfS_,gst_throughput,./heat_globalmem.out_gst_throughput_heat_globalmem.out,2076363325
_Z12blend_kernelPfbS_S_,l2_read_transactions,./heat_globalmem.out_l2_read_transactions_heat_globalmem.out,2576266
_Z14float_to_colorPhPKf,l2_read_transactions,./heat_globalmem.out_l2_read_transactions_heat_globalmem.out,29550099
_Z17copy_const_kernelPfS_,l2_read_transactions,./heat_globalmem.out_l2_read_transactions_heat_globalmem.out,1049276
_Z12blend_kernelPfbS_S_,l2_atomic_throughput,./heat_globalmem.out_l2_atomic_throughput_heat_globalmem.out,0
_Z14float_to_colorPhPKf,l2_atomic_throughput,./heat_globalmem.out_l2_atomic_throughput_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,l2_atomic_throughput,./heat_globalmem.out_l2_atomic_throughput_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,issued_ipc,./heat_globalmem.out_issued_ipc_heat_globalmem.out,1.3666
