,Executable,Memtype,GPUBlockSize,NumSpheres,Dim,ExecTime
148,./const_global_mem.out,3,32,500,1024,8.84365253164557
149,./const_global_mem.out,3,32,500,4096,22.22434782608696
150,./const_global_mem.out,3,32,500,10240,90.20133417721519
151,./const_global_mem.out,3,32,500,20480,336.99734177215186
152,./const_global_mem.out,3,32,1000,1024,10.032472926829268
153,./const_global_mem.out,3,32,1000,4096,37.48107594936709
154,./const_global_mem.out,3,32,1000,10240,171.80430379746826
155,./const_global_mem.out,3,32,1000,20480,664.100493670886
156,./const_global_mem.out,3,32,2340,1024,12.795752380952381
157,./const_global_mem.out,3,32,2340,4096,69.26976075949366
158,./const_global_mem.out,3,32,2340,10240,391.735835443038
159,./const_global_mem.out,3,32,2340,20480,1542.893544303798
