,Unnamed: 0,Executable,Memtype,GPUBlockSize,NumSpheres,Dim,ExecTime,DataSize,NormExec,Improvement,SpeedUp
25,25,./const_global_mem.out,2,8,200,4096,17.282711764705883,200_4096,1.245059263455308,-24.505926345530796,0.8031746193548926
45,45,./const_global_mem.out,2,16,200,4096,16.005915384615385,200_4096,1.1530779134090565,-15.307791340905654,0.8672440850449696
65,65,./const_global_mem.out,2,32,200,4096,15.817729411764708,200_4096,1.1395208575523148,-13.952085755231483,0.8775618220345656
85,85,./const_global_mem.out,3,4,200,4096,18.7787,200_4096,1.3528313559215388,-35.28313559215389,0.7391904361344488
105,105,./const_global_mem.out,3,8,200,4096,14.052182352941177,200_4096,1.012329549233234,-1.2329549233234063,0.9878206170682533
125,125,./const_global_mem.out,3,16,200,4096,14.040315384615386,200_4096,1.011474644109298,-1.147464410929805,0.9886555296505701
145,145,./const_global_mem.out,3,32,200,4096,13.881035443037973,200_4096,1.0,0.0,1.0
6,6,./const_global_mem.out,2,4,200,10240,113.5362857142857,200_10240,2.671069296753446,-167.10692967534462,0.37438190061764814
26,26,./const_global_mem.out,2,8,200,10240,57.831370588235295,200_10240,1.3605482810679017,-36.054828106790175,0.7349978048666487
46,46,./const_global_mem.out,2,16,200,10240,52.572315384615386,200_10240,1.2368230702602254,-23.682307026022535,0.8085230814700132
66,66,./const_global_mem.out,2,32,200,10240,52.28754705882352,200_10240,1.2301235739104444,-23.012357391044446,0.8129264581289961
86,86,./const_global_mem.out,3,4,200,10240,68.50412857142858,200_10240,1.6116369614949455,-61.16369614949456,0.620487134442738
106,106,./const_global_mem.out,3,8,200,10240,42.23506571428571,200_10240,0.993627601661079,0.6372398338921054,1.0064132662259664
126,126,./const_global_mem.out,3,16,200,10240,44.49207843137255,200_10240,1.0467263738559331,-4.672637385593304,0.9553595141738883
146,146,./const_global_mem.out,3,32,200,10240,42.50593043478261,200_10240,1.0,0.0,1.0
7,7,./const_global_mem.out,2,4,200,20480,423.16157142857145,200_20480,3.0307203839148533,-203.0720383914854,0.3299545564504622
27,27,./const_global_mem.out,2,8,200,20480,204.08952941176472,200_20480,1.4617071555993901,-46.17071555993902,0.6841315623100568
47,47,./const_global_mem.out,2,16,200,20480,183.98176923076923,200_20480,1.3176936090722782,-31.76936090722781,0.758901760709039
67,67,./const_global_mem.out,2,32,200,20480,180.17864705882354,200_20480,1.2904553136615617,-29.045531366156183,0.7749202854321096
87,87,./const_global_mem.out,3,4,200,20480,246.7752857142857,200_20480,1.767426295671894,-76.74262956718941,0.5657944562943408
107,107,./const_global_mem.out,3,8,200,20480,142.65470588235294,200_20480,1.0217055474093402,-2.170554740934023,0.978755574476054
127,127,./const_global_mem.out,3,16,200,20480,142.33253846153843,200_20480,1.0193981560127172,-1.939815601271711,0.9809709720404133
147,147,./const_global_mem.out,3,32,200,20480,139.62408860759487,200_20480,1.0,0.0,1.0
8,8,./const_global_mem.out,2,4,500,1024,13.046400000000002,500_1024,1.475227566134647,-47.5227566134647,0.6778615197790631
28,28,./const_global_mem.out,2,8,500,1024,10.686952941176473,500_1024,1.2084320254481906,-20.84320254481906,0.8275186182930844
48,48,./const_global_mem.out,2,16,500,1024,9.797549230769233,500_1024,1.1078622996222771,-10.786229962227715,0.902639254301683
68,68,./const_global_mem.out,2,32,500,1024,9.261718235294119,500_1024,1.0472729680584543,-4.727296805845431,0.9548608915724294
88,88,./const_global_mem.out,3,4,500,1024,9.654417857142855,500_1024,1.0916776549729983,-9.167765497299836,0.9160213140249116
108,108,./const_global_mem.out,3,8,500,1024,8.970421764705883,500_1024,1.0143344882226761,-1.433448822267616,0.9858680855387327
128,128,./const_global_mem.out,3,16,500,1024,8.90422923076923,500_1024,1.0068497375837526,-0.6849737583752588,0.9931968621254342
148,148,./const_global_mem.out,3,32,500,1024,8.843652531645569,500_1024,1.0,0.0,1.0
9,9,./const_global_mem.out,2,4,500,4096,78.34062142857144,500_4096,3.5249907912535074,-252.49907912535076,0.2836886843736673
29,29,./const_global_mem.out,2,8,500,4096,39.915588235294116,500_4096,1.7960296764452708,-79.60296764452707,0.5567836729620277
49,49,./const_global_mem.out,2,16,500,4096,29.4901,500_4096,1.3269275764926833,-32.69275764926832,0.7536206328933085
69,69,./const_global_mem.out,2,32,500,4096,25.671994117647067,500_4096,1.1551292446707146,-15.51292446707146,0.8657039933960495
89,89,./const_global_mem.out,3,4,500,4096,32.708821428571426,500_4096,1.4717561876068994,-47.17561876068995,0.6794603674308426
109,109,./const_global_mem.out,3,8,500,4096,23.04755890410959,500_4096,1.0370409554631046,-3.7040955463104517,0.9642820707629977
129,129,./const_global_mem.out,3,16,500,4096,22.18590769230769,500_4096,0.9982703594238141,0.17296405761858658,1.0017326374161646
149,149,./const_global_mem.out,3,32,500,4096,22.22434782608696,500_4096,1.0,0.0,1.0
10,10,./const_global_mem.out,2,4,500,10240,429.54728571428564,500_10240,4.762094592418889,-376.2094592418889,0.2099916288080396
30,30,./const_global_mem.out,2,8,500,10240,215.50458823529408,500_10240,2.3891507836447325,-138.91507836447323,0.4185587644135484
50,50,./const_global_mem.out,2,16,500,10240,150.66961538461538,500_10240,1.6703701420712957,-67.03701420712957,0.5986697048834805
70,70,./const_global_mem.out,2,32,500,10240,115.60458823529413,500_10240,1.281628362704371,-28.162836270437086,0.7802573890374076
90,90,./const_global_mem.out,3,4,500,10240,154.43471428571434,500_10240,1.7121111976271017,-71.21111976271017,0.5840742128116145
110,110,./const_global_mem.out,3,8,500,10240,91.77112352941177,500_10240,1.0174031722093206,-1.7403172209320747,0.9828945174492337
130,130,./const_global_mem.out,3,16,500,10240,91.60161538461536,500_10240,1.0155239522804516,-1.5523952280451585,0.9847133568385156
150,150,./const_global_mem.out,3,32,500,10240,90.2013341772152,500_10240,1.0,0.0,1.0
11,11,./const_global_mem.out,2,4,500,20480,1680.4685714285715,500_20480,4.986592958245819,-398.6592958245819,0.20053772352652172
31,31,./const_global_mem.out,2,8,500,20480,858.6431176470587,500_20480,2.547922524052425,-154.7922524052425,0.39247661204765283
51,51,./const_global_mem.out,2,16,500,20480,641.2514615384615,500_20480,1.9028383374371534,-90.28383374371535,0.525530719202796
71,71,./const_global_mem.out,2,32,500,20480,438.91288235294115,500_20480,1.3024223872059375,-30.24223872059375,0.7678000699491057
91,91,./const_global_mem.out,3,4,500,20480,597.1410000000002,500_20480,1.7719457277017183,-77.19457277017183,0.5643513705676745
111,111,./const_global_mem.out,3,8,500,20480,343.9043529411765,500_20480,1.0204957437726456,-2.0495743772645634,0.9799158948993991
131,131,./const_global_mem.out,3,16,500,20480,342.9443076923077,500_20480,1.0176469223433124,-1.7646922343312457,0.9826590913254302
151,151,./const_global_mem.out,3,32,500,20480,336.9973417721518,500_20480,1.0,0.0,1.0
12,12,./const_global_mem.out,2,4,1000,1024,20.36012142857143,1000_1024,2.0294220155953298,-102.94220155953296,0.4927511342221498
32,32,./const_global_mem.out,2,8,1000,1024,14.35508823529412,1000_1024,1.4308623945453298,-43.086239454532986,0.6988792240345093
52,52,./const_global_mem.out,2,16,1000,1024,12.546284615384614,1000_1024,1.250567502836993,-25.056750283699287,0.7996369630039447
72,72,./const_global_mem.out,2,32,1000,1024,11.158411764705882,1000_1024,1.112229441942034,-11.222944194203407,0.8990950628441616
92,92,./const_global_mem.out,3,4,1000,1024,11.406114285714285,1000_1024,1.1369195181390988,-13.691951813909874,0.8795697356280702
112,112,./const_global_mem.out,3,8,1000,1024,10.046826470588234,1000_1024,1.001430708446826,-0.14307084468258788,0.9985713355554626
132,132,./const_global_mem.out,3,16,1000,1024,9.952820588235292,1000_1024,0.9920605478654255,0.7939452134574485,1.0080029915025424
152,152,./const_global_mem.out,3,32,1000,1024,10.032472926829268,1000_1024,1.0,0.0,1.0
13,13,./const_global_mem.out,2,4,1000,4096,173.5737142857143,1000_4096,4.630969359582785,-363.09693595827855,0.21593751164229086
33,33,./const_global_mem.out,2,8,1000,4096,83.43921176470589,1000_4096,2.226169064021089,-122.61690640210887,0.4492021815242182
53,53,./const_global_mem.out,2,16,1000,4096,60.44672307692308,1000_4096,1.6127264638448506,-61.27264638448507,0.6200679547453641
73,73,./const_global_mem.out,2,32,1000,4096,44.57339411764707,1000_4096,1.1892239747295656,-18.922397472956575,0.8408844937955476
93,93,./const_global_mem.out,3,4,1000,4096,56.70963571428572,1000_4096,1.5130204850814406,-51.302048508144054,0.6609295841398827
113,113,./const_global_mem.out,3,8,1000,4096,35.33011176470588,1000_4096,0.9426119947152282,5.7388005284771815,1.0608818958452881
133,133,./const_global_mem.out,3,16,1000,4096,35.814869230769226,1000_4096,0.9555453872015645,4.445461279843556,1.0465227642703885
153,153,./const_global_mem.out,3,32,1000,4096,37.481075949367096,1000_4096,1.0,0.0,1.0
14,14,./const_global_mem.out,2,4,1000,10240,1005.6164285714286,1000_10240,5.853266806149984,-485.3266806149984,0.1708447663703468
34,34,./const_global_mem.out,2,8,1000,10240,492.0311764705882,1000_10240,2.8639048358801293,-186.39048358801293,0.34917361340768227
54,54,./const_global_mem.out,2,16,1000,10240,369.6784615384616,1000_10240,2.1517415650672964,-115.17415650672962,0.4647398257460927
74,74,./const_global_mem.out,2,32,1000,10240,236.7395294117647,1000_10240,1.3779604129757157,-37.79604129757158,0.725710253054725
94,94,./const_global_mem.out,3,4,1000,10240,300.1790000000001,1000_10240,1.747214670209115,-74.72146702091148,0.5723395167465686
114,114,./const_global_mem.out,3,8,1000,10240,175.71152941176467,1000_10240,1.022742303469315,-2.2742303469314984,0.9777634078573173
134,134,./const_global_mem.out,3,16,1000,10240,175.2680769230769,1000_10240,1.0201611545755682,-2.016115457556822,0.9802372845847516
154,154,./const_global_mem.out,3,32,1000,10240,171.80430379746826,1000_10240,1.0,0.0,1.0
15,15,./const_global_mem.out,2,4,1000,20480,4007.142857142857,1000_20480,6.033940488423596,-503.3940488423596,0.1657291784561926
35,35,./const_global_mem.out,2,8,1000,20480,2002.9288235294118,1000_20480,3.0160026119812233,-201.60026119812233,0.33156469958860424
55,55,./const_global_mem.out,2,16,1000,20480,1533.7346153846152,1000_20480,2.3094917561448183,-130.94917561448185,0.4329957001748632
75,75,./const_global_mem.out,2,32,1000,20480,927.6265882352942,1000_20480,1.3968165918801532,-39.68165918801533,0.7159136036993753
